,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,676118201,OMEX,521626,13503148,3.8629955029745657
1,682143102,OMER,2347300,64963952,3.613234613559224
2,68827L101,OR,2211407,170966226,1.293475940680822
3,69374H642,PTBD,10458223,48565178,21.534406813046168
4,70614W100,PTON,6903394,272782241,2.530734396305513
5,74139C102,PVG,2339564,190101703,1.2306907108559675
6,74255Y508,GENY,1091161,1591037,68.58174888453254
7,74345W108,PRPH,1685101,15325977,10.995064131963659
8,74347B680,REGL,1389006,14947087,9.292820734903062
9,74347R669,USD,444486,9046827,4.91317010925488
10,74347R750,UCC,49848,365575,13.635505710182589
11,74347X625,URE,426436,1396088,30.54506592707623
12,747952109,QTRRF,8119767,257630029,3.1517160602423404
