Date,STLHF_QUANTITY_FAILS
2020-08-03,12135
2020-08-04,24614
2020-08-05,10200
2020-08-06,6456
2020-08-11,255
2020-08-12,1000
2020-08-18,8870
2020-08-21,882
2020-08-26,201
2020-08-27,8402
2020-08-28,608
2020-08-31,1963
2020-09-04,9400
2020-09-08,8464
2020-09-11,268
2020-09-14,16601
2020-09-15,10990
2020-09-16,60617
2020-09-17,12564
2020-09-18,41578
2020-09-21,123554
2020-09-22,380225
2020-09-23,280322
2020-09-24,308744
2020-09-28,23024
2020-09-29,14669
2020-09-30,62
2020-10-01,23840
2020-10-02,80180
2020-10-05,201844
2020-10-06,41381
2020-10-07,91307
2020-10-08,58961
2020-10-09,98907
2020-10-13,6855
2020-10-14,42200
2020-09-28,23024
2020-09-29,14669
2020-09-30,62
2020-10-15,24660
2020-10-16,22838
2020-10-19,44659
2020-10-20,34553
2020-10-21,15179
2020-10-22,13709
2020-10-23,2608
2020-10-26,1217
2020-10-27,4000
2020-10-28,223041
2020-10-29,133348
2020-10-30,321727
2020-11-02,280721
2020-11-03,107598
2020-11-04,77791
2020-11-05,61641
2020-11-06,44574
2020-11-09,54085
2020-11-10,51783
2020-11-12,79973
2020-11-13,4895
2020-10-28,223041
2020-10-29,133348
2020-10-30,321727
2020-11-16,4523
2020-11-18,40408
2020-11-19,8147
2020-11-20,98930
2020-11-23,1237
2020-11-24,1212
2020-11-25,4500
2020-11-27,9769
2020-11-30,6886
2020-10-29,133348
2020-10-30,321727
2020-12-01,6778
2020-12-02,6019
2020-12-03,9238
2020-12-04,902
2020-12-07,98237
2020-12-08,69583
2020-12-09,12246
2020-12-10,18567
2020-12-11,17616
2020-12-14,13448
2020-12-15,7386
2020-12-16,34699
2020-12-17,68469
2020-12-21,9913
2020-12-22,21963
2020-12-24,12694
2020-12-28,5883
2020-12-29,13244
2020-12-30,500
2020-12-31,507
2021-01-04,500
2021-01-06,169866
2021-01-07,33632
2021-01-08,1105
2021-01-12,15466
2021-01-14,9681
2020-12-28,5883
2020-12-29,13244
2020-12-30,500
2020-12-31,507
2021-01-15,4185
2021-01-20,44777
2021-01-25,64614
2021-01-26,3124
2021-01-27,50000
2021-01-28,13798
2021-01-29,251
2020-12-30,500
2020-12-31,507
2021-02-01,61317
2021-02-02,39859
2021-02-04,2664
2021-02-05,5133
2021-02-08,32760
2021-02-10,101860
2021-02-11,179757
2021-02-12,70951
2020-12-30,500
2020-12-31,507
2021-02-16,37180
2021-02-17,18123
2021-02-19,3969
2021-02-22,32190
2021-02-23,15431
2021-02-24,4115
2021-02-25,114553
2021-02-26,40727
2021-02-12,70951
2020-12-30,500
2020-12-31,507
2021-03-01,19001
2021-03-02,37561
2021-03-03,614
2021-03-04,175
2021-03-08,24996
2021-03-09,20066
2021-03-10,130
2021-03-11,26137
2021-03-12,11009
2020-12-30,500
2020-12-31,507
2021-03-15,1175
2021-03-16,63308
2021-03-17,25247
2021-03-19,1011
2021-03-22,3431
2021-03-24,215
2021-03-26,29673
2021-03-29,9384
2021-03-30,2850
2021-03-31,10740
2021-04-01,20829
2021-04-05,7768
2021-04-06,8018
2021-04-08,161
2021-04-09,511
2021-04-12,5588
2021-04-13,22951
2021-08-13,190194
2021-04-15,3952
2021-04-16,1081
2021-04-20,12934
2021-04-21,16125
2021-04-22,1337
2021-04-23,2895
2021-04-26,4418
2021-04-27,4137
2021-04-28,3510
2021-04-29,8267
2021-05-04,11818
2021-05-05,223
2021-05-06,386
2021-05-07,1452
2021-05-10,1446
2021-05-12,1221
2021-04-29,8267
2021-05-18,87
2021-05-19,4431
2021-05-20,8163
2021-05-21,5830
2021-05-24,4588
2021-05-25,2348
2021-05-27,5373
2021-05-28,26403
2021-04-29,8267
2021-06-01,13802
2021-06-07,289
2021-06-11,1406
2021-06-14,25841
2021-06-15,1828
2021-06-17,116830
2021-06-18,198015
2021-06-21,169380
2021-06-22,104555
2021-06-23,142873
2021-06-24,42817
2021-06-25,76863
2021-06-29,25500
2021-06-30,40985
2021-07-01,204647
2021-07-02,185860
2021-07-07,900
2021-07-09,8765
2021-07-12,229827
2021-07-13,136333
2021-07-14,269503
2021-06-25,76863
2021-06-29,25500
2021-06-30,40985
2021-07-15,411033
2021-07-16,327151
2021-07-19,251301
2021-07-20,300468
2021-07-21,198838
2021-07-22,89556
2021-07-23,22332
2021-07-26,51968
2021-07-27,26590
2021-07-28,11673
2021-07-29,23059
2021-07-30,2673
2021-06-30,40985
2021-08-02,64277
2021-08-03,750
2021-08-04,170471
2021-08-05,34369
2021-08-06,88629
2021-08-09,17759
2021-08-10,23562
2021-08-11,81262
2021-08-12,75571
2021-08-13,190194
2021-07-29,23059
2021-07-30,2673
2021-06-30,40985
2021-08-16,58511
2021-08-17,1327
2021-08-18,92689
2021-08-19,12263
2021-08-20,145333
2021-08-23,61342
2021-08-24,6362
2021-08-25,17957
2021-08-26,11
2021-08-27,4475
2021-08-30,21042
2021-08-31,161526
2021-07-30,2673
2021-06-30,40985
2021-09-01,71161
2021-09-02,915
2021-09-03,10740
2021-09-07,17418
2021-09-08,7917
2021-09-09,10529
2021-09-13,122052
2021-09-14,116183
